ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genre,Country,Language,IMDb,IMDb_ID,RottenTomatoes_Score,Age_Min,IMDb_Score,Type_raw,Genre_clean,Title_key
88,Over the Moon,2020,7+,84/100,1,0,0,0,movie,"Animation, Adventure, Comedy","China, United States",English,6.3,tt7488208,84.0,7.0,6.3,0,"Animation, Adventure, Comedy",over the moon
89,"What Happened, Miss Simone?",2015,18+,84/100,1,0,0,0,movie,"Documentary, Biography, Music",United States,"English, French",7.6,tt4284010,84.0,16.0,7.6,0,"Documentary, Biography, Music","what happened, miss simone?"
90,Nightcrawler,2014,18+,84/100,1,0,0,0,movie,"Crime, Drama, Thriller",United States,English,7.8,tt2872718,84.0,18.0,7.8,0,"Crime, Drama, Thriller",nightcrawler
91,1922,2017,18+,84/100,1,0,0,0,movie,"Crime, Drama, Horror","United States, Canada",English,6.2,tt6214928,84.0,18.0,6.2,0,"Crime, Drama, Horror",1922
92,Paddleton,2019,18+,84/100,1,0,0,0,movie,"Comedy, Drama",United States,English,7.2,tt8041276,84.0,18.0,7.2,0,"Comedy, Drama",paddleton
93,Cargo,2017,18+,84/100,1,0,0,0,movie,"Drama, Horror, Sci-Fi","Australia, United States, United Arab Emirates, United Kingdom","English, Aboriginal",6.3,tt3860916,84.0,16.0,6.3,0,"Drama, Horror, Sci-Fi",cargo
94,Rain Man,1988,18+,83/100,1,0,0,0,movie,Drama,United States,"English, Italian",8.0,tt0095953,83.0,18.0,8.0,0,Drama,rain man
95,Cuba and the Cameraman,2017,18+,83/100,1,0,0,0,movie,Documentary,United States,"English, Spanish",8.2,tt7320560,83.0,16.0,8.2,0,Documentary,cuba and the cameraman
96,The Ritual,2017,18+,83/100,1,0,0,0,movie,"Horror, Mystery, Thriller","United Kingdom, Canada","English, Swedish",6.4,tt5638642,83.0,18.0,6.4,0,"Horror, Mystery, Thriller",the ritual
97,The Hater,2020,18+,83/100,1,0,0,0,movie,"Drama, Thriller",Poland,"Polish, English",7.1,tt9506474,83.0,18.0,7.1,0,"Drama, Thriller",the hater
98,The Edge of Democracy,2019,16+,83/100,1,0,0,0,movie,"Documentary, History","Brazil, United Kingdom","Portuguese, English",7.3,tt6016744,83.0,16.0,7.3,0,"Documentary, History",the edge of democracy
99,22-Jul,2018,18+,83/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,83.0,18.0,7.0,0,Drama Film,22-jul
100,Adam Sandler: 100% Fresh,2018,18+,83/100,1,0,0,0,movie,"Comedy, Music",United States,English,7.6,tt9036126,83.0,18.0,7.6,0,"Comedy, Music",adam sandler: 100% fresh
101,Guru,2007,13+,83/100,1,0,0,0,movie,Drama,India,Hindi,7.7,tt0499375,83.0,13.0,7.7,0,Drama,guru
